Image Name,PSNR,MSE,RMSE,Compression Ratio,Original Size,Compressed Size
frame1,38.02532153975801,10.245855034722222,3.2009147184394373,1.4577263638960296,10207.0,7002.0
frame10,35.19203847619182,19.673268229166666,4.435455808501159,1.5677777777777777,16932.0,10800.0
frame2,37.26651317553464,12.201944444444445,3.4931281746372327,1.530843951053362,12135.0,7927.0
frame3,37.860960399844615,10.641046006944444,3.2620616191213254,1.5597710330138446,11717.0,7512.0
frame4,36.1028268495149,15.951358506944445,3.993915185246733,1.5738415886783839,13790.0,8762.0
frame5,36.94309876118342,13.145299479166667,3.625644698418016,1.5793345405160706,13955.0,8836.0
frame6,37.452466619277274,11.690516493055556,3.419139729969449,1.5793357933579335,14980.0,9485.0
frame7,36.224336848195684,15.511245659722222,3.9384318782635077,1.5676380225304907,16838.0,10741.0
frame8,36.536037699742366,14.436987847222222,3.7996036434373286,1.5730977752851,16829.0,10698.0
frame9,35.915730737726086,16.653567708333334,4.080878301093201,1.5838975297346751,17312.0,10930.0
